"id","authors","title","doi"
"KZOUC","Vaish, A; Herrmann, E; Markmann, C; Tomasello, M","Preschoolers value those who sanction non-cooperators","http://doi.org/10.1016/j.cognition.2016.04.011"
"aEEro","Emberson, LL; Rubinstein, DY","Statistical learning is constrained to less abstract patterns in complex sensory input (but not the least)","http://doi.org/10.1016/j.cognition.2016.04.010"
"uLdrX","Ishida, M; Samuel, AG; Arai, T","Some people are ""More Lexical"" than others","http://doi.org/10.1016/j.cognition.2016.03.008"
"XRMQZ","Wiegmann, A; Samland, J; Waldmann, MR","Lying despite telling the truth","http://doi.org/10.1016/j.cognition.2016.01.017"
"AxxRP","Goldvicht-Bacon, E; Diesendruck, G","Children's capacity to use cultural focal points in coordination problems","http://doi.org/10.1016/j.cognition.2015.12.016"
"USuhq","Cruz, ALF; Arango-Munoz, S; Volz, KG","Oops, scratch that! Monitoring one's own errors during mental calculation","http://doi.org/10.1016/j.cognition.2015.09.005"
"xAQTM","Wulff, DU; Hills, TT; Hertvvig, R","How short- and long-run aspirations impact search and choice in decisions from experience","http://doi.org/10.1016/j.cognition.2015.07.006"
"wzPrK","Wan, LL; Crookes, K; Reynolds, KJ; Irons, JL; McKone, E","A cultural setting where the other-race effect on face recognition has no social-motivational component and derives entirely from lifetime perceptual experience","http://doi.org/10.1016/j.cognition.2015.07.011"
"EqnmW","Rissman, L; Rawlins, K; Landau, B","Using instruments to understand argument structure: Evidence for gradient representation","http://doi.org/10.1016/j.cognition.2015.05.015"
"NvsPf","Topolinski, S; Erle, TM; Reber, R","Necker's smile: Immediate affective consequences of early perceptual processes","http://doi.org/10.1016/j.cognition.2015.03.004"
"sOdMc","Declerck, M; Philipp, AM","A sentence to remember: Instructed language switching in sentence production","http://doi.org/10.1016/j.cognition.2015.01.006"
"YXtOR","Chen, LJ; Yang, YF","Emphasizing the only character: Emphasis, attention and contrast","http://doi.org/10.1016/j.cognition.2014.11.015"
"gcwkF","Shidlovski, D; Schul, Y; Mayo, R","If I imagine it, then it happened: The Implicit Truth Value of imaginary representations","http://doi.org/10.1016/j.cognition.2014.08.005"
"QfgHC","Gummerum, M; Chu, MT","Outcomes and intentions in children's, adolescents', and adults' second- and third-party punishment behavior","http://doi.org/10.1016/j.cognition.2014.06.001"
"aDZuM","Selbing, I; Lindstrom, B; Olsson, A","Demonstrator skill modulates observational aversive learning","http://doi.org/10.1016/j.cognition.2014.06.010"
"QYMHB","Solman, GJF; Kingstone, A","Balancing energetic and cognitive resources: Memory use during search depends on the orienting effector","http://doi.org/10.1016/j.cognition.2014.05.005"
"TSHCw","Markant, J; Amso, D","Leveling the playing field: Attention mitigates the effects of intelligence on memory","http://doi.org/10.1016/j.cognition.2014.01.006"
"zplUh","Hargreaves, IS; Pexman, PM","Get rich quick: The signal to respond procedure reveals the time course of semantic richness effects during visual word recognition","http://doi.org/10.1016/j.cognition.2014.01.001"
"qvhJO","Martin, A; Santos, LR","The origins of belief representation: Monkeys fail to automatically represent others' beliefs","http://doi.org/10.1016/j.cognition.2013.11.016"
"OQwWo","Pantelis, PC; Baker, CL; Cholewiak, SA; Sanik, K; Weinstein, A; Wu, CC; Tenenbaum, JB; Feldman, J","Inferring the intentional states of autonomous virtual agents","http://doi.org/10.1016/j.cognition.2013.11.011"
