"id","authors","title","doi"
"oJOAI","Anelli, F; Ciaramelli, E; Arzy, S; Frassinetti, F","Prisms to travel in time: Investigation of time-space association through prismatic adaptation effect on mental time travel","http://doi.org/10.1016/j.cognition.2016.07.009"
"fyGkU","Oberauer, K; Lewandowsky, S","Control of information in working memory: Encoding and removal of distractors in the complex-span paradigm","http://doi.org/10.1016/j.cognition.2016.08.007"
"snzLL","Noh, SM; Yan, VX; Bjork, RA; Maddox, WT","Optimal sequencing during category learning: Testing a dual-learning systems perspective","http://doi.org/10.1016/j.cognition.2016.06.007"
"Eqtzf","Hopkins, EJ; Weisberg, DS; Taylor, JCV","The seductive allure is a reductive allure: People prefer scientific explanations that contain logically irrelevant reductive information","http://doi.org/10.1016/j.cognition.2016.06.011"
"xrpoQ","Roeder, JL; Ashby, FG","What is automatized during perceptual categorization?","http://doi.org/10.1016/j.cognition.2016.04.005"
"vHFRQ","Wood, JN","A smoothness constraint on the development of object recognition","http://doi.org/10.1016/j.cognition.2016.04.013"
"KCwSa","Yermolayeva, Y; Rakison, DH","Seeing the unseen: Second-order correlation learning in 7-to 11-month-olds","http://doi.org/10.1016/j.cognition.2016.03.012"
"ZPXDR","Lindner, I; Schain, C; Echterhoff, G","Other-self confusions in action memory: The role of motor processes","http://doi.org/10.1016/j.cognition.2016.01.003"
"nxWDs","Failing, M; Theeuwes, J","Reward alters the perception of time","http://doi.org/10.1016/j.cognition.2015.12.005"
"XAbBN","Ryskin, RA; Wang, RF; Brown-Schmidt, S","Listeners use speaker identity to access representations of spatial perspective during online language comprehension","http://doi.org/10.1016/j.cognition.2015.11.011"
"dXpha","Hobbs, K; Spelke, E","Goal attributions and instrumental helping at 14 and 24 months of age","http://doi.org/10.1016/j.cognition.2015.03.014"
"pfpBH","Abel, M; Bauml, KHT","Selective memory retrieval in social groups: When silence is golden and when it is not","http://doi.org/10.1016/j.cognition.2015.03.009"
"eLPjp","Powell, D; Horne, Z; Pinillos, NA; Holyoak, KJ","A Bayesian framework for knowledge attribution: Evidence from semantic integration","http://doi.org/10.1016/j.cognition.2015.03.002"
"JwMSR","Tang, RX; Whitwell, RL; Goodale, MA","The influence of visual feedback from the recent past on the programming of grip aperture is grasp-specific, shared between hands, and mediated by sensorimotor memory not task set","http://doi.org/10.1016/j.cognition.2015.01.012"
"vUJmP","Van Ede, F; van Doren, TI; Damhuis, J; de Lange, FP; Maris, E","Movement preparation improves touch perception without awareness","http://doi.org/10.1016/j.cognition.2015.01.009"
"tzfuz","Van Belle, G; Lefevre, P; Rossion, B","Face inversion and acquired prosopagnosia reduce the size of the perceptual field of view","http://doi.org/10.1016/j.cognition.2014.11.037"
"IMjXX","Knobe, J","Philosophers are doing something different now: Quantitative data","http://doi.org/10.1016/j.cognition.2014.11.011"
"pvwiW","Diesendruck, G; Perez, R","Toys are me: Children's extension of self to objects","http://doi.org/10.1016/j.cognition.2014.09.010"
"ORvcy","Jung, WP; Kahrs, BA; Lockman, JJ","Manual action, fitting, and spatial planning: Relating objects by young children","http://doi.org/10.1016/j.cognition.2014.09.004"
"cpEbR","Crollen, V; NoeL, MP; Seron, X; Mahau, P; Lepore, F; Collignon, O","Visual experience influences the interactions between fingers and numbers","http://doi.org/10.1016/j.cognition.2014.06.002"
