"id","authors","title","doi"
"SXoTj","Kuriki, S; Tamura, Y; Igarashi, M; Kato, N; Nakano, T","Similar impressions of humanness for human and artificial singing voices in autism spectrum disorders","http://doi.org/10.1016/j.cognition.2016.04.004"
"GZuiA","Skordos, D; Papafragou, A","Children's derivation of scalar implicatures: Alternatives and relevance","http://doi.org/10.1016/j.cognition.2016.04.006"
"DjNOT","Tang, RX; Whitwell, RL; Goodale, MA","Unusual hand postures but not familiar tools show motor equivalence with precision grasping","http://doi.org/10.1016/j.cognition.2016.02.013"
"wsvCD","Hartanto, A; Yang, H","Disparate bilingual experiences modulate task-switching advantages: A diffusion-model analysis of the effects of interactional context on switch costs","http://doi.org/10.1016/j.cognition.2016.01.016"
"whEAq","Naish, KR; Barnes, B; Obhi, SS","Stimulation over primary motor cortex during action observation impairs effector recognition","http://doi.org/10.1016/j.cognition.2016.01.008"
"Mayae","Burki, A; Sadat, J; Dubarry, AS; Alario, FX","Sequential processing during noun phrase production","http://doi.org/10.1016/j.cognition.2015.09.002"
"jloDO","Chan, J; Schunn, CD","The importance of iteration in creative conceptual combination","http://doi.org/10.1016/j.cognition.2015.08.008"
"qFHyl","Gunderson, EA; Spaepen, E; Gibson, D; Goldin-Meadow, S; Levine, SC","Gesture as a window onto children's number knowledge","http://doi.org/10.1016/j.cognition.2015.07.008"
"ucpnH","Longo, MR","Intuitive anatomy: Distortions of conceptual knowledge of hand structure","http://doi.org/10.1016/j.cognition.2015.05.024"
"ibBqR","Cole, P; Hermon, G; Yanti","Grammar of Binding in the languages of the world: Innate or learned?","http://doi.org/10.1016/j.cognition.2015.04.005"
"odxXF","Ratclifff, R; Thompson, CA; McKoon, G","Modeling individual differences in response time and accuracy in numeracy","http://doi.org/10.1016/j.cognition.2014.12.004"
"zfCkB","Thompson, GB; Fletcher-Flinn, CM; Wilson, KJ; McKay, MF; Margrain, VG","Learning with sublexical information from emerging reading vocabularies in exceptionally early and normal reading development","http://doi.org/10.1016/j.cognition.2014.11.032"
"gcQkM","Landrum, AR; Mills, CM","Developing expectations regarding the boundaries of expertise","http://doi.org/10.1016/j.cognition.2014.10.013"
"lScMl","White, LC; Pothos, EM; Busemeyer, JR","Sometimes it does hurt to ask: The constructive role of articulating impressions","http://doi.org/10.1016/j.cognition.2014.05.015"
"xiUqd","White, J; Sundara, M","Biased generalization of newly learned phonological alternations by 12-month-old infants","http://doi.org/10.1016/j.cognition.2014.05.020"
"DYKHV","Sandford, A; Burton, AM","Tolerance for distorted faces: Challenges to a configural processing account of familiar face recognition","http://doi.org/10.1016/j.cognition.2014.04.005"
"TYQTO","Nakayama, M; Saito, S","Within-word serial order control: Adjacent mora exchange and serial position effects in repeated single-word production","http://doi.org/10.1016/j.cognition.2014.03.002"
"tiKnc","Xu, JM; Harvey, N","Carry on winning: The gamblers' fallacy creates hot hand effects in online gambling","http://doi.org/10.1016/j.cognition.2014.01.002"
"jOGCJ","Strohminger, N; Nichols, S","The essential moral self","http://doi.org/10.1016/j.cognition.2013.12.005"
"EcYBI","Pool, E; Brosch, T; Delplanque, S; Sander, D","Where is the chocolate? Rapid spatial orienting toward stimuli associated with primary rewards","http://doi.org/10.1016/j.cognition.2013.12.002"
